dataset,method,first_order_diff_used,num_features,block_size,network_config,train_transform_time,test_transform_time,train_transform_block_time,test_transform_block_time,train_cls_time,train_cls_epoch_time,test_cls_time,train_cls_time_gpu,train_cls_epoch_time_gpu,test_cls_time_gpu
hepatitis,storm multirocket,0,2500,1000.0,"64,0.4,32,True",87.01186371,9.555642605,10.87648296,1.194455326,3.722782373,0.195043504,0.395515919,3.359678268,0.132485539,0.416864395
hepatitis,storm multirocket,0,10000,100.0,"64,0.4,32,True",32.35904717,3.662717342,0.425776937,0.048193649,64.77753186,2.931367725,2.173919678,,,
hepatitis,storm multirocket,0,10000,1000.0,"64,0.4,32,True",92.87627578,10.13936496,11.60953447,1.26742062,9.577068329,0.736605525,0.44944787,5.357249498,0.294145077,0.461378574
hepatitis,storm multirocket,1,1000,100.0,"64,0.4,32,True",39.26143122,4.348427296,0.516597779,0.057216149,9.027774096,0.668544441,0.486745358,8.732617378,0.486242712,0.556085587
hepatitis,storm multirocket,1,1000,1000.0,"64,0.4,32,True",84.97212696,9.52511096,10.62151587,1.19063887,3.340754747,0.151719123,0.39833951,6.507502317,0.121927112,0.488771677
hepatitis,storm multirocket,1,2500,100.0,"64,0.4,32,True",59.42111754,6.549591064,0.78185681,0.08617883,17.97449994,1.37972182,0.68975091,18.78066826,1.078317761,1.16885376
hepatitis,storm multirocket,1,2500,1000.0,"64,0.4,32,True",168.0176516,20.30949688,21.00220261,2.53868711,5.329683781,0.354057848,0.415887594,4.038171291,0.176500976,0.45179534
hepatitis,storm multirocket,1,10000,100.0,"64,0.4,32,True",63.37804699,6.814815998,0.833921671,0.089668632,115.193172,9.219317198,11.5127039,,,
hepatitis,storm multirocket,1,10000,1000.0,"64,0.4,32,True",241.0733452,26.27042508,30.13416815,3.283803135,16.30397081,1.395423263,0.542965651,8.277316809,0.503832877,0.559337854
musekey,minirocket,0,1000,,,92.69141388,10.24918842,92.69141388,10.24918842,0.087765217,,0.0,,,
musekey,minirocket,0,2500,,,273.840618,30.55361344,273.840618,30.55361344,0.029920101,,0.00099659,,,
